Outcome Measure ID,Drug Group,Animal,Sex,Type of Ischaemia,Anaesthetic ID,Method of Induction of Injury,Method of Quantification of Injury,Ventiliation,Route of Drug Delivery,Comorbidity,Cotreatment in both Groups,Cotreatment in Treatment Group Only,Peer Review Publication,Control of Temperature,Monitoring of Physiological Variables,Random Allocation to Group,Blinded Induction of Ischaemia,Blinded Assessment of Outcome,Anaesthetic without marked intrinsic neuroprotective activity,Use of Comorbid Animals,Sample Size Calculation,Compliance with Animal Welfare Regulations,Statement of Potential Conflicts of Interest,Time of Administration (mins),Time of Assessment (hrs),yi,si,yi.smd,si.smd
22364,Stem Cells,Rat,Male,Temporary,5,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4320,1344,-66.66666667,8.619888,-3.656097564,0.896766103
22365,Stem Cells,Rat,Male,Temporary,5,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4320,1344,48.33333333,5.842626526,3.910652982,0.940237584
22368,Antidepressant,Rat,Male,Permanent,6,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1440,672,-90.36144578,7.025243247,-6.854867605,1.802303173
22369,Antidepressant,Rat,Male,Permanent,6,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1440,672,-21.06481481,4.921363802,-2.281126876,0.810020722
22370,Antidepressant,Rat,Male,Permanent,6,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1440,672,-40.20408163,2.326888623,-9.208137938,2.365004598
22372,Antidepressant,Rat,Male,Permanent,6,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1440,336,-15.03759398,7.870083239,-1.018301293,0.630602476
22374,Antidepressant,Rat,Male,Permanent,6,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1440,672,-7.213578501,3.622701124,-1.061195801,0.634974739
22378,Antidepressant,Rat,Male,Permanent,71,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1140,456,-7.368421053,5.668594534,-0.692749638,0.602581059
22379,Antidepressant,Rat,Male,Permanent,71,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1140,1080,-76.78945423,4.476369861,-9.142245603,2.349092903
22381,Antidepressant,Rat,Male,Not Known,134,13,3,Unknown,SubCut,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,10080,1128,-16.66666667,26.7158112,-0.324471643,0.611655858
22382,Antidepressant,Rat,Male,Not Known,134,13,3,Unknown,SubCut,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,10080,1128,-12,25.15728302,-0.250904251,0.60920037
22383,Antidepressant,Rat,Male,Permanent,71,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1440,672,-35.19047619,4.752194686,-3.946464366,1.139955441
22384,Antidepressant,Rat,Male,Permanent,71,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1440,672,-17.11366539,9.235815361,-0.987518091,0.627558056
22389,Stem Cells,Rat,Male,Temporary,6,17,1,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120,840,27.06552707,18.60960868,0.775097818,0.608771184
22390,Stem Cells,Rat,Male,Temporary,6,17,1,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,336,25.11627907,4.301219682,3.112009699,0.966496374
22396,Stem Cells,Rat,Male,Temporary,1,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,180,168,41.98113208,17.01385736,1.095184519,0.517352831
22397,Stem Cells,Rat,Male,Temporary,1,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-10080,672,44.28571429,18.62629259,0.937177043,0.434233245
22398,Stem Cells,Rat,Male,Temporary,1,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,180,168,96.33027523,47.98020416,1.021488545,0.511963519
22399,Stem Cells,Rat,Male,Temporary,1,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-10080,672,71.46666667,40.43848552,0.69661537,0.422802796
22400,Stem Cells,Rat,Male,Temporary,1,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,180,168,-18.05555556,21.96026153,-0.382608654,0.47979775
22401,Stem Cells,Rat,Male,Temporary,1,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-10080,672,-24.03846154,11.57845633,-0.818352504,0.428204519
22406,Antidepressant,Mouse,Male,Temporary,3,17,1,Unknown,IPeritoneal,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11520,1176,-1.958041958,10.92342612,-0.11021743,0.708163854
22424,Stem Cells,Rat,Male,Permanent,5,17,77,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,360,336,-31.76369863,162.554595,-0.117916985,0.469268696
22425,Stem Cells,Rat,Male,Permanent,5,17,77,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,360,168,-67.53407683,11.07435159,-6.351192643,2.863019248
22428,Stem cells,Rat,Male,Permanent,5,17,77,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,360,336,2.054794521,17.59141773,0.057358678,0.442225385
22429,Stem cells,Rat,Male,Permanent,5,17,77,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,360,168,3.345724907,11.93280241,0.217843125,0.899278673
22431,Stem Cells,Rat,Male,Permanent,5,17,77,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,360,336,15.23972603,17.10015561,0.484704857,0.47028861
22432,Stem Cells,Rat,Male,Permanent,5,17,77,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,360,168,9.541511772,11.73410716,0.663759229,0.938504277
